"ID","SKU","Product","Needs price","Needs image","Needs description"
"clearance-1788275284412-936","clearance-1788275284412-936","50cl Short Plain","Yes","Yes","Yes"
"clearance-1787769924491-945","clearance-1787769924491-945","50cl Short Plain Bottle","Yes","Yes","Yes"
"prod-imp-1785576583554-94","STAT","Artistic Straw","","","Yes"
"prod-imp-1785576583554-95","HGXL","Black HG (XL)","","","Yes"
"prod-imp-1785576583553-65","BK20","Brown Kraft (200g)","","","Yes"
"prod-imp-1785576583553-66","BK35","Brown Kraft (350g)","","","Yes"
"prod-imp-1785576583553-67","BK40","Brown Kraft (400g)","","","Yes"
"prod-imp-1785576583553-68","BK50","Brown kraft (500g)","","","Yes"
"prod-imp-1785576583552-46","CT10","Clear TPouch (100g)","","","Yes"
"prod-imp-1785576583552-47","CT15","Clear TPouch (150g)","","","Yes"
"prod-imp-1785576583553-50","CT1K","Clear TPouch (1KG)","","","Yes"
"prod-imp-1785576583552-48","CT25","Clear TPouch (250g)","","","Yes"
"prod-imp-1785576583553-49","CT50","Clear TPouch (500g)","","","Yes"
"prod-imp-1785576583554-92","CTTP","Clear TTape","","","Yes"
"prod-imp-1785576583554-75","CFNY","Cling Film","","","Yes"
"prod-imp-1785576583550-13","10GC","Cream (10g)","","","Yes"
"prod-1787056079154","F15K","Flat BotTP (1.5KG)","","","Yes"
"prod-imp-1785576583553-69","FB1K","Flat BotTP (1KG)","","","Yes"
"prod-imp-1785576583553-70","FB2K","Flat BotTP (2KG)","","","Yes"
"prod-imp-1785576583554-91","FGTP","Fragile Tape","","","Yes"
"prod-imp-1785576583554-86","ZIFS","Frosted Ziplock (10KG)","","","Yes"
"prod-1787058119254","GN35","Glass Nylon (3x5)","","","Yes"
"prod-1787058356477","GN58","Glass Nylon (5x8)","","","Yes"
"prod-1787058652511","GN69","Glass Nylon (6*9)","","","Yes"
"prod-imp-1785576583553-61","GO10","Gold Pouch (100g)","","","Yes"
"prod-imp-1785576583553-62","GO20","Gold Pouch (200g)","","","Yes"
"prod-imp-1785576583553-63","GO35","Gold Pouch (350g)","","","Yes"
"prod-imp-1785576583553-64","GO50","Gold Pouch (500g)","","","Yes"
"prod-imp-1785576583553-60","GOG5","Gold Pouch (50g)","","","Yes"
"prod-imp-1785576583554-93","HEGU","Heat Gun","","","Yes"
"prod-imp-1785576583551-17","KTSC","Ketchup Sauce","","","Yes"
"prod-1787059235495","LDPB","LD Poly (Big)","","","Yes"
"prod-1787059331478","LDPM","LD Poly (Medium)","","","Yes"
"prod-1787935769576","LASB","Laminated Sack","","","Yes"
"prod-imp-1785576583552-44","L1LT","Liquid (1 Litre)","","","Yes"
"prod-imp-1785576583552-42","L150","Liquid (150ml)","","","Yes"
"prod-imp-1785576583552-43","L200","Liquid (200ml)","","","Yes"
"prod-imp-1785576583551-27","LA1M","Long Amber (100ml)","","","Yes"
"clearance-1788602843407-416","clearance-1788602843407-416","Long Neck Cover","Yes","Yes","Yes"
